date,region,ev_sales,charging_stations,ev_subsidy_inr,avg_range_km,Registered_Ev_count,Fuel_price_INR,Region_population,Region_Ev_buyers
2022-08,South,2956,274,53000,352,5912,102,4420754,2128
2022-09,South,3002,278,53000,352,6004,92,4607750,1801
2022-10,South,3048,282,53000,352,9144,105,1365579,2194
2022-11,South,3094,286,53000,352,6188,110,4451862,2289
2022-12,South,3140,290,53000,352,9420,87,4301856,2166
2023-01,South,3187,294,56000,364,9561,113,2120290,2390
2023-02,South,3234,298,56000,364,9702,101,2426902,4171
2023-03,South,3281,302,56000,364,6562,109,2880961,3215
2023-04,South,3328,306,56000,364,9984,103,2310956,2595
2023-05,South,3375,310,56000,364,6750,98,3946438,3172
2023-06,South,3422,314,56000,364,6844,108,4482982,2121
2023-07,South,3469,318,56000,364,10407,109,4930333,2289
2023-08,South,3516,322,56000,364,7032,89,2150566,3445
2023-09,South,3563,326,56000,364,10689,89,4401990,5130
2023-10,South,3610,330,56000,364,10830,97,1207531,2924
2023-11,South,3657,334,56000,364,7314,102,5581086,2852
2023-12,South,3704,338,56000,364,7408,108,1915603,2963
2024-01,South,3752,342,59000,376,11256,107,4148797,3264
2024-02,South,3800,346,59000,376,7600,110,4661096,3268
2024-03,South,3848,350,59000,376,11544,105,4396564,2308
2024-04,South,3896,354,59000,376,7792,86,5784715,2805
2024-05,South,3944,358,59000,376,11832,90,3902561,4377
2024-06,South,3992,362,59000,376,7984,110,1390063,2235
2024-07,South,4040,366,59000,376,12120,108,4188126,4726
2024-08,South,4088,370,59000,376,8176,112,2913743,3352
2024-09,South,4136,374,59000,376,12408,114,5059125,5707
2024-10,South,4184,378,59000,376,8368,86,3963928,2928
2024-11,South,4232,382,59000,376,8464,104,947449,3047
2024-12,South,4280,386,59000,376,8560,106,1252781,3167
2025-01,South,4329,390,62000,388,12987,108,1739916,3896
2025-02,South,4378,394,62000,388,8756,104,4121609,3239
2025-03,South,4427,398,62000,388,13281,107,3139701,3054
2025-04,South,4476,402,62000,388,8952,107,3959206,2417
2025-05,South,4525,406,62000,388,13575,92,4262352,3936
2025-06,South,4574,410,62000,388,9148,94,4546362,4482
2025-07,South,4623,414,62000,388,9246,102,4027439,2126
2025-08,South,4672,418,62000,388,9344,94,5924805,2522
2025-09,South,4721,422,62000,388,9442,107,5962257,3399
2025-10,South,4770,426,62000,388,9540,85,1078528,2098
2025-11,South,4819,430,62000,388,14457,104,1590672,3469
2025-12,South,4868,434,62000,388,9736,109,3603168,4770
2018-01,East,593,60,44000,316,1186,89,4796733,545
2018-02,East,636,65,44000,316,1908,102,2708730,457
2018-03,East,679,70,44000,316,1358,105,2147207,353
2018-04,East,722,75,44000,316,1444,106,3464246,288
2018-05,East,765,80,44000,316,1530,101,1023283,566
2018-06,East,808,85,44000,316,2424,88,5375269,1042
2018-07,East,851,90,44000,316,1702,95,1197764,714
2018-08,East,894,95,44000,316,1788,86,3701791,733
2018-09,East,937,100,44000,316,2811,105,1524100,702
2018-10,East,980,105,44000,316,1960,89,1139365,842
2018-11,East,1023,110,44000,316,3069,89,1964284,1442
2018-12,East,1066,115,44000,316,2132,101,3245420,831
2019-01,East,1110,120,47000,328,2220,101,1939514,754
2019-02,East,1154,125,47000,328,3462,100,1665836,1627
2019-03,East,1198,130,47000,328,3594,95,3687302,1509
2019-04,East,1242,135,47000,328,2484,98,1450023,695
2019-05,East,1286,140,47000,328,2572,93,1378388,1131
2019-06,East,1330,145,47000,328,2660,112,3872061,1303
2019-07,East,1374,150,47000,328,4122,96,3473312,1978
2019-08,East,1418,155,47000,328,4254,105,4196983,935
2019-09,East,1462,160,47000,328,2924,91,2831983,1345
2019-10,East,1506,165,47000,328,3012,94,2931434,1114
2019-11,East,1550,170,47000,328,3100,113,5683868,1488
2019-12,East,1594,175,47000,328,3188,112,2468387,1115
2020-01,East,1639,180,50000,340,3278,100,5236784,1180
2020-02,East,1684,185,50000,340,5052,88,942441,1414
2020-03,East,1729,190,50000,340,3458,104,932884,1625
2020-04,East,1774,195,50000,340,5322,97,4610719,2288
2020-05,East,1819,200,50000,340,3638,103,4669144,1164
2020-06,East,1864,205,50000,340,3728,102,5026014,1006
2020-07,East,1909,210,50000,340,3818,95,4953944,1221
2020-08,East,1954,215,50000,340,5862,87,1250768,1172
2020-09,East,1999,220,50000,340,5997,86,2887729,2398
2020-10,East,2044,225,50000,340,6132,96,2794261,1900
2020-11,East,2089,230,50000,340,4178,88,5069657,1295
2020-12,East,2134,235,50000,340,4268,97,2116009,2091
2021-01,East,2180,240,53000,352,6540,89,1347678,1831
2021-02,East,2226,245,53000,352,6678,111,2237423,1335
2021-03,East,2272,250,53000,352,6816,86,1023622,2726
2021-04,East,2318,255,53000,352,6954,102,2104641,2294
2021-05,East,2364,260,53000,352,4728,85,5546788,2269
2021-06,East,2410,265,53000,352,4820,92,4375271,1590
2021-07,East,2456,270,53000,352,4912,109,1218782,1228
2021-08,East,2502,275,53000,352,7506,111,5028603,2627
2021-09,East,2548,280,53000,352,7644,89,4381607,3745
2021-10,East,2594,285,53000,352,5188,88,3167645,1400
2021-11,East,2640,290,53000,352,7920,90,2252470,3009
2021-12,East,2686,295,53000,352,5372,91,5841982,1289
2022-01,East,2733,300,56000,364,5466,88,4498070,1858
2022-02,East,2780,305,56000,364,8340,87,3275215,2668
2022-03,East,2827,310,56000,364,5654,110,3313039,2544
2022-04,East,2874,315,56000,364,8622,93,1045931,3707
2022-05,East,2921,320,56000,364,8763,113,3183479,2190
2022-06,East,2968,325,56000,364,8904,86,1151726,3205
2022-07,East,3015,330,56000,364,9045,113,4202174,2170
2022-08,East,3062,335,56000,364,6124,89,5911746,1775
2022-09,East,3109,340,56000,364,6218,111,1123057,1492
2022-10,East,3156,345,56000,364,6312,85,3937859,2272
2022-11,East,3203,350,56000,364,9609,109,2463719,3651
2022-12,East,3250,355,56000,364,9750,98,1985861,2437
2023-01,East,3298,360,59000,376,9894,104,5823829,4056
2023-02,East,3346,365,59000,376,6692,94,4597677,2275
2023-03,East,3394,370,59000,376,10182,106,3652363,2341
2023-04,East,3442,375,59000,376,10326,90,5243505,3717
2023-05,East,3490,380,59000,376,10470,86,4465948,2094
2023-06,East,3538,385,59000,376,10614,92,1654429,3927
2023-07,East,3586,390,59000,376,7172,114,3739709,3227
2023-08,East,3634,395,59000,376,7268,93,5820197,2107
2023-09,East,3682,400,59000,376,11046,107,3939184,4197
2023-10,East,3730,405,59000,376,11190,105,3724104,2349
2023-11,East,3778,410,59000,376,7556,92,5555766,2720
2023-12,East,3826,415,59000,376,7652,88,4655038,2831
2024-01,East,3875,420,62000,388,7750,106,4322463,2480
2024-02,East,3924,425,62000,388,11772,112,1971635,3060
2024-03,East,3973,430,62000,388,11919,97,1467044,5721
2024-04,East,4022,435,62000,388,8044,88,1019444,3137
2024-05,East,4071,440,62000,388,12213,91,4511498,2931
2024-06,East,4120,445,62000,388,12360,105,5047786,2842
2024-07,East,4169,450,62000,388,12507,92,4078619,3251
2024-08,East,4218,455,62000,388,12654,104,2980195,3036
2024-09,East,4267,460,62000,388,12801,85,2118876,4864
2024-10,East,4316,465,62000,388,8632,90,1519770,3366
2024-11,East,4365,470,62000,388,8730,112,5123657,2269
2024-12,East,4414,475,62000,388,8828,96,3592648,2824
2025-01,East,4464,480,65000,400,13392,94,5153884,3080
2025-02,East,4514,485,65000,400,9028,104,5628017,3069
2025-03,East,4564,490,65000,400,13692,92,4206163,6709
2025-04,East,4614,495,65000,400,9228,106,5981578,3598
2025-05,East,4664,500,65000,400,13992,90,5080509,6716
2025-06,East,4714,505,65000,400,14142,113,2716801,6222
2025-07,East,4764,510,65000,400,9528,93,4217342,3525
2025-08,East,4814,515,65000,400,9628,96,2857102,2214
2025-09,East,4864,520,65000,400,9728,99,2002206,4766
2025-10,East,4914,525,65000,400,14742,85,2319480,6928
2025-11,East,4964,530,65000,400,9928,93,4667568,2283
2025-12,East,5014,535,65000,400,10028,104,3921667,2105
2018-01,West,644,66,47000,328,1932,91,1480775,792
2018-02,West,688,72,47000,328,2064,110,4610621,804
2018-03,West,732,78,47000,328,2196,95,1613212,922
2018-04,West,776,84,47000,328,2328,104,3278817,1094
2018-05,West,820,90,47000,328,1640,87,5503671,393
2018-06,West,864,96,47000,328,2592,112,5718007,1140
2018-07,West,908,102,47000,328,1816,108,4722959,744
2018-08,West,952,108,47000,328,1904,85,1779039,514
2018-09,West,996,114,47000,328,1992,104,5121338,597
2018-10,West,1040,120,47000,328,2080,111,4099705,624
2018-11,West,1084,126,47000,328,3252,99,1013798,1593
2018-12,West,1128,132,47000,328,3384,85,1484143,1252
2019-01,West,1173,138,50000,340,3519,104,1777669,1724
2019-02,West,1218,144,50000,340,2436,91,3187505,1193
2019-03,West,1263,150,50000,340,3789,86,3652464,1742
2019-04,West,1308,156,50000,340,2616,97,4606736,1151
2019-05,West,1353,162,50000,340,2706,112,3098571,1028
2019-06,West,1398,168,50000,340,4194,110,1471158,1509
2019-07,West,1443,174,50000,340,4329,103,4761869,865
2019-08,West,1488,180,50000,340,4464,98,4856615,1071
2019-09,West,1533,186,50000,340,4599,94,3022288,1011
2019-10,West,1578,192,50000,340,4734,89,2124943,2224
2019-11,West,1623,198,50000,340,4869,110,3081814,1606
2019-12,West,1668,204,50000,340,3336,114,5213696,700
2020-01,West,1714,210,53000,352,3428,112,5950724,1611
2020-02,West,1760,216,53000,352,5280,102,3461534,1161
2020-03,West,1806,222,53000,352,5418,88,3098822,1191
2020-04,West,1852,228,53000,352,5556,87,2283334,2166
2020-05,West,1898,234,53000,352,5694,105,4054532,2277
2020-06,West,1944,240,53000,352,5832,98,5705057,2682
2020-07,West,1990,246,53000,352,5970,110,2571739,1910
2020-08,West,2036,252,53000,352,6108,100,1081125,1649
2020-09,West,2082,258,53000,352,6246,108,5211301,2560
2020-10,West,2128,264,53000,352,6384,89,4592632,2106
2020-11,West,2174,270,53000,352,6522,94,5438289,2413
2020-12,West,2220,276,53000,352,4440,89,3297903,2042
2021-01,West,2267,282,56000,364,4534,102,1784052,1768
2021-02,West,2314,288,56000,364,4628,103,1316114,1480
2021-03,West,2361,294,56000,364,4722,98,3192657,1747
2021-04,West,2408,300,56000,364,7224,98,3475384,1444
2021-05,West,2455,306,56000,364,7365,108,1018146,1546
2021-06,West,2502,312,56000,364,7506,87,3382003,1801
2021-07,West,2549,318,56000,364,5098,88,2886125,1529
2021-08,West,2596,324,56000,364,7788,94,2399533,2336
2021-09,West,2643,330,56000,364,7929,111,3425265,1585
2021-10,West,2690,336,56000,364,8070,108,1450042,3873
2021-11,West,2737,342,56000,364,8211,111,4713268,3777
2021-12,West,2784,348,56000,364,8352,107,2087706,1837
2022-01,West,2832,354,59000,376,8496,107,4325425,4078
2022-02,West,2880,360,59000,376,8640,97,5058053,1814
2022-03,West,2928,366,59000,376,5856,100,4663444,1932
2022-04,West,2976,372,59000,376,5952,87,3112023,2321
2022-05,West,3024,378,59000,376,6048,111,3209732,2116
2022-06,West,3072,384,59000,376,6144,104,4008036,2273
2022-07,West,3120,390,59000,376,9360,91,3001359,2246
2022-08,West,3168,396,59000,376,9504,99,1413250,2566
2022-09,West,3216,402,59000,376,6432,101,2438451,2637
2022-10,West,3264,408,59000,376,9792,114,1506064,2545
2022-11,West,3312,414,59000,376,6624,113,5527425,1920
2022-12,West,3360,420,59000,376,6720,100,5633529,2352
2023-01,West,3409,426,62000,388,10227,111,4072845,3886
2023-02,West,3458,432,62000,388,6916,93,2672070,3388
2023-03,West,3507,438,62000,388,10521,85,5524435,4313
2023-04,West,3556,444,62000,388,7112,95,4037431,3413
2023-05,West,3605,450,62000,388,10815,96,5352058,3244
2023-06,West,3654,456,62000,388,7308,98,3706531,2777
2023-07,West,3703,462,62000,388,7406,92,5325562,1629
2023-08,West,3752,468,62000,388,7504,91,4877646,3676
2023-09,West,3801,474,62000,388,7602,98,2658621,2812
2023-10,West,3850,480,62000,388,11550,106,4505125,2656
2023-11,West,3899,486,62000,388,11697,100,1297255,5146
2023-12,West,3948,492,62000,388,11844,94,988910,4619
2024-01,West,3998,498,65000,400,7996,91,2351427,2878
2024-02,West,4048,504,65000,400,12144,106,1578068,5221
2024-03,West,4098,510,65000,400,8196,96,3543303,2622
2024-04,West,4148,516,65000,400,12444,103,2954407,2862
2024-05,West,4198,522,65000,400,8396,92,3860742,2770
2024-06,West,4248,528,65000,400,8496,113,4105571,3738
2024-07,West,4298,534,65000,400,8596,86,5683704,1891
2024-08,West,4348,540,65000,400,8696,94,3837336,3478
2024-09,West,4398,546,65000,400,13194,87,3355364,3034
2024-10,West,4448,552,65000,400,13344,103,5810197,4937
2024-11,West,4498,558,65000,400,13494,113,5109011,4318
2024-12,West,4548,564,65000,400,9096,99,1626201,2364
2025-01,West,4599,570,68000,412,13797,90,3486973,4139
2025-02,West,4650,576,68000,412,9300,112,1791494,2790
2025-03,West,4701,582,68000,412,9402,107,4058923,2350
2025-04,West,4752,588,68000,412,14256,89,2849390,4276
2025-05,West,4803,594,68000,412,14409,114,1628658,4034
2025-06,West,4854,600,68000,412,14562,103,5785740,5096
2025-07,West,4905,606,68000,412,9810,113,3877795,4610
2025-08,West,4956,612,68000,412,14868,99,4668485,3568
2025-09,West,5007,618,68000,412,15021,114,2638119,5858
2025-10,West,5058,624,68000,412,10116,103,1277355,4248
2025-11,West,5109,630,68000,412,15327,86,5846704,3831
2025-12,West,5160,636,68000,412,10320,97,907228,2373
2024-05,East,4210,447,61715,387,12383,93,4516836,2981
2021-07,South,2363,217,50180,358,4763,97,2335548,2007
2020-03,East,1828,194,50203,347,3406,107,927828,1658
2018-04,West,849,93,49133,325,2478,105,3274112,1133
2019-02,West,1342,143,50212,346,2455,91,3191640,1298
2023-01,North,3221,231,55223,369,9268,105,5552757,3198
2025-01,North,4207,299,59003,382,12555,102,1712130,4452
2021-04,South,2356,208,49846,336,6611,91,2486381,1495
2019-02,North,1009,94,42644,312,3100,109,2406285,969
2023-07,West,3807,458,62176,402,7398,95,5335770,1645
2021-05,South,2265,210,50250,358,4606,90,921656,1303
2023-07,West,3660,467,61205,406,7561,94,5318297,1605
2025-03,West,4667,577,68463,427,9522,108,4052847,2467
2018-02,East,664,74,43902,328,1870,106,2711909,418
2024-03,East,3986,430,60243,403,11905,94,1481085,5677
2023-07,West,3656,471,61191,386,7414,89,5321859,1710
2021-09,West,2638,337,56499,367,7906,115,3440167,1630
2025-10,South,4815,432,61321,404,9513,87,1085928,2217
2024-10,East,4277,461,60528,407,8734,89,1531552,3444
2018-05,South,731,71,40244,298,2071,105,5737148,794
2018-08,West,1093,103,47370,335,1906,82,1782722,596
2024-12,West,4659,569,67841,392,9111,100,1645938,2341
2021-12,South,2677,249,51209,336,5204,106,2294579,1522
2022-01,East,2801,296,57262,362,5425,89,4514486,1858
2024-08,East,4276,461,60401,407,12782,107,2990502,3010
2024-07,East,4212,446,61088,401,12494,89,4090848,3345
2018-06,East,938,94,45439,330,2483,90,5373098,1135
2025-02,East,4570,481,67975,419,9168,101,5642491,3181
2024-11,South,4237,388,60488,389,8434,101,965349,3118
2020-04,South,1832,169,49825,339,5016,114,959942,1857
2022-10,West,3329,412,57404,366,9856,115,1514068,2540
2025-02,South,4408,394,60908,389,8665,101,4135062,3196
2021-11,East,2735,295,54925,357,7824,88,2264872,3076
2025-09,West,4964,613,69446,412,14947,111,2636216,5888
2019-10,South,1499,146,45039,329,3046,105,2763731,1176
2021-05,East,2462,255,54299,359,4635,85,5547843,2303
2025-06,South,4577,407,61134,385,9208,98,4551536,4450
2023-06,West,3772,455,62808,399,7249,102,3700828,2883
2025-06,North,4436,311,60907,366,8846,97,1209335,4074
2021-01,South,2076,195,48950,356,6437,94,1624591,2632
2024-03,West,4181,516,63425,394,8285,93,3544409,2657
2021-07,North,2325,170,48924,341,4631,106,1045792,1039
2021-02,East,2188,245,51037,348,6633,114,2251484,1404
2021-08,North,2322,175,45675,347,6938,108,5437207,1537
2018-10,West,1018,122,48809,325,2236,112,4094732,738
2020-08,West,2122,261,53402,357,6153,104,1090613,1602
2023-05,South,3374,312,57925,361,6728,99,3954044,3268
2025-09,North,4539,330,57252,377,9344,89,2765028,2899
2022-07,East,3117,327,58865,372,9009,115,4199944,2235
2020-03,East,1704,188,49194,359,3656,103,938447,1607
2024-08,East,4264,458,64644,385,12638,106,2972430,3087
2020-02,West,1847,211,54882,346,5238,99,3480538,1173
2019-02,North,1140,90,41814,318,3103,111,2391893,1015
2021-11,West,2724,337,54107,376,8261,109,4726876,3836
2023-06,South,3408,313,57341,381,6971,108,4501499,2112
2019-09,South,1405,140,43312,323,4076,101,4190085,1657
2023-11,East,3730,406,58287,375,7519,90,5572514,2806
2020-06,South,1815,172,46778,321,3654,114,1078634,1331
2021-11,North,2574,189,47158,323,7469,97,2588101,2020
2020-01,North,1507,121,42757,309,2909,98,1231282,1475
2023-08,West,3789,472,63179,397,7426,95,4886946,3769
2023-06,South,3443,309,54017,371,6801,105,4474337,2191
2021-10,East,2682,289,54336,369,5303,87,3183912,1428
2021-12,South,2634,243,50019,342,5271,108,2301207,1553
2025-03,North,4425,312,61627,377,12885,85,2732344,3506
2025-02,West,4781,574,66206,410,9493,112,1799751,2768
2020-04,South,1689,157,47940,341,5029,113,955774,1927
2022-08,South,2939,275,54920,354,5896,105,4412106,2122
2023-02,West,3579,439,63015,401,6975,97,2690516,3338
2024-01,East,3955,416,61742,402,7892,109,4327148,2446
2020-05,West,1876,229,51717,351,5867,104,4068130,2229
2024-06,North,4005,281,56042,358,7676,111,1928796,2381
2018-12,South,1104,102,43168,310,2988,91,2008272,1413
2022-12,East,3367,352,54747,359,9947,102,1995993,2442
2019-08,North,1320,105,42620,294,3907,97,4549566,1308
2023-11,North,3531,261,54608,366,10542,96,2788125,4404
2021-06,East,2386,266,54743,358,4986,89,4388018,1621
2018-04,North,591,58,39884,303,1255,99,3628028,222
2019-12,South,1497,152,42813,327,3010,90,2712028,1355
2020-03,West,1937,229,53019,351,5601,87,3096744,1213
2024-04,West,4127,518,63722,399,12643,105,2945052,2928
2018-04,South,650,69,40739,318,1290,98,4157497,574
2018-09,East,968,101,44780,307,2982,107,1541358,659
2024-12,West,4638,564,67592,402,9100,103,1633063,2456
2019-08,South,1315,133,43853,325,2663,107,1976487,578
2019-02,South,1103,103,45093,333,2135,110,3686429,765
2022-07,West,3184,391,61015,394,9265,89,3001465,2237
2018-04,West,797,87,46814,327,2452,103,3284686,1206
2018-10,North,893,83,37823,298,2497,103,5693715,1119
2022-12,South,3096,292,54401,354,9381,89,4320228,2231
2021-08,South,2440,233,48510,348,4762,95,5756765,2071
2023-05,West,3578,458,64162,404,10722,95,5347099,3239
2020-07,East,1937,208,52351,331,3977,93,4961439,1225
2024-04,North,3757,270,56512,356,11296,102,2931898,4301
2023-01,North,3172,227,54357,342,9210,104,5565081,3274
2024-10,North,4145,294,54947,369,12300,94,4992169,5563
2018-05,West,774,97,46547,344,1838,85,5499129,435
2021-12,East,2829,295,55849,363,5530,93,5835999,1246
