brand,model,vehicle_type,initial_battery_capacity_kwh,current_battery_capacity_kwh,battery_health_pct,range_km,top_speed_kmph,odometer_km,warranty_remaining_years,annual_maintenance_cost,Purchase_Year,Current_Year,Purchase_Price_L,Initial_Mileage,Current_Mileage,Initial_Perf,Current_Perf,Resale_Value_L,Value_for_Money_Score
Hyundai,Hyundai Kona Electric,Car,39.0,31.65,81,305,155,72207,3,31346,2020,2025,2367544,302,274,8.34,7.82,1013959,0.8
Tata,Tata Nexon EV,Car,40.0,35.43,88,312,120,54234,5,34774,2022,2025,1636456,303,296,7.53,6.54,987787,1.0
Ola,Ola S1 Pro,Bike,4.0,3.56,89,180,95,34469,7,13346,2024,2025,164944,169,149,8.81,7.47,129184,1.2
Mahindra,Mahindra XUV400,Car,39.4,33.48,84,375,150,54591,4,29974,2021,2025,2082299,355,335,8.59,8.25,1061116,1.0
Tata,Tata Nexon EV,Car,40.0,30.57,76,312,120,86199,2,19368,2019,2025,1648629,314,287,7.57,7.55,585132,0.7
Tata,Tata Nexon EV,Car,40.0,30.37,75,312,120,93921,2,30036,2019,2025,1579157,325,313,7.95,6.65,556808,0.7
Ather,Ather 450X,Bike,3.7,3.1,83,150,90,96318,1,6834,2018,2025,158166,164,129,7.92,7.63,54156,0.7
MG,MG ZS EV,Car,50.0,46.15,92,419,140,27611,6,26997,2023,2025,2648884,427,420,7.59,6.94,1893345,1.1
TVS,TVS iQube,Bike,3.4,2.97,87,145,82,27279,7,3844,2024,2025,129767,138,123,8.96,8.59,99752,1.1
Ola,Ola S1 Pro,Bike,4.0,2.47,61,180,95,116135,0,3000,2017,2025,147366,180,145,7.54,6.15,32726,0.7
MG,MG ZS EV,Car,50.0,41.82,83,419,140,45138,4,31198,2021,2025,2713584,418,411,7.92,6.96,1361093,1.0
Hyundai,Hyundai Kona Electric,Car,39.0,29.53,75,305,155,81176,2,25369,2019,2025,2284311,311,297,8.27,6.89,803248,0.7
Ather,Ather 450X,Bike,3.7,3.16,85,150,90,18137,7,3000,2024,2025,171790,148,140,8.21,7.13,129111,1.1
Hyundai,Hyundai Kona Electric,Car,39.0,26.07,66,305,155,116786,0,22555,2017,2025,2274714,307,289,8.04,7.45,546845,0.6
Ather,Ather 450X,Bike,3.7,3.23,87,150,90,59626,5,12036,2022,2025,167556,143,119,7.77,7.58,99680,1.1
Ola,Ola S1 Pro,Bike,4.0,3.0,75,180,95,81796,2,3000,2019,2025,158665,165,144,7.55,7.33,55263,0.9
MG,MG ZS EV,Car,50.0,33.54,67,419,140,102872,0,19937,2017,2025,2278184,406,377,8.54,8.34,549595,0.6
Bajaj,Bajaj Chetak,Bike,3.0,1.91,63,120,70,86609,3,8822,2020,2025,123113,127,106,8.51,8.38,41364,0.8
MG,MG ZS EV,Car,50.0,43.75,87,419,140,56051,5,19663,2022,2025,2643446,402,399,8.33,8.16,1576255,0.9
Ola,Ola S1 Pro,Bike,4.0,3.28,82,180,95,61267,4,13889,2021,2025,162484,195,172,8.06,7.86,79901,0.8
Tata,Tata Nexon EV,Car,40.0,34.99,87,312,120,45654,5,31155,2022,2025,1444042,292,270,8.26,8.26,860818,1.0
TVS,TVS iQube,Bike,3.4,2.69,79,145,82,40408,5,3000,2022,2025,138452,131,85,8.39,7.27,74648,1.0
Ather,Ather 450X,Bike,3.7,3.35,90,150,90,74655,3,6104,2020,2025,150570,152,125,8.67,8.25,71944,1.0
TVS,TVS iQube,Bike,3.4,2.79,82,145,82,40494,6,3000,2023,2025,126748,126,78,8.87,7.93,80543,1.0
TVS,TVS iQube,Bike,3.4,2.04,60,145,82,100985,1,20991,2018,2025,129818,163,157,7.91,6.57,31832,0.6
Tata,Tata Nexon EV,Car,40.0,35.25,88,312,120,47827,5,26170,2022,2025,1389027,318,313,8.43,7.65,834176,0.9
Ather,Ather 450X,Bike,3.7,3.71,100,150,90,49256,5,3000,2022,2025,153180,170,122,8.97,8.51,104670,1.0
Ather,Ather 450X,Bike,3.7,2.52,68,150,90,98983,1,3000,2018,2025,173833,158,134,8.73,7.4,48384,0.8
TVS,TVS iQube,Bike,3.4,2.76,81,145,82,33006,6,14214,2023,2025,126009,138,123,8.87,7.66,79213,1.1
TVS,TVS iQube,Bike,3.4,3.15,92,145,82,54853,4,10506,2021,2025,137796,149,130,7.6,7.56,76559,1.0
Ola,Ola S1 Pro,Bike,4.0,3.69,92,180,95,79089,3,9393,2020,2025,161250,179,141,8.32,7.33,78501,0.9
Tata,Tata Nexon EV,Car,40.0,33.17,82,312,120,50403,4,24337,2021,2025,1614066,304,277,7.82,7.75,802670,1.0
TVS,TVS iQube,Bike,3.4,2.66,78,145,82,97715,2,3000,2019,2025,144650,160,146,8.85,8.76,52555,0.7
MG,MG ZS EV,Car,50.0,44.43,88,419,140,46069,5,23239,2022,2025,2287302,412,407,8.16,6.75,1385089,1.0
Bajaj,Bajaj Chetak,Bike,3.0,1.95,65,120,70,108845,0,11741,2017,2025,121060,133,127,8.97,8.89,28299,0.7
Mahindra,Mahindra XUV400,Car,39.4,36.41,92,375,150,47260,6,24648,2023,2025,1933503,366,325,8.49,7.03,1383676,1.0
Ola,Ola S1 Pro,Bike,4.0,3.06,76,180,95,77686,3,10498,2020,2025,139567,168,118,8.56,7.68,56345,0.8
Tata,Tata Nexon EV,Car,40.0,33.65,84,312,120,63320,4,23180,2021,2025,1473292,303,269,8.29,7.3,743266,1.0
Ola,Ola S1 Pro,Bike,4.0,3.2,80,180,95,77018,2,3000,2019,2025,150592,198,156,8.4,7.72,55948,0.9
Mahindra,Mahindra XUV400,Car,39.4,26.83,68,375,150,102704,0,27608,2017,2025,1948665,384,361,8.47,8.04,477224,0.7
Hyundai,Hyundai Kona Electric,Car,39.0,31.07,79,305,155,77326,3,27617,2020,2025,2147824,308,305,8.38,7.64,903001,0.8
TVS,TVS iQube,Bike,3.4,2.08,61,145,82,92157,1,17029,2018,2025,153353,164,160,7.85,7.27,38340,0.7
Ather,Ather 450X,Bike,3.7,3.37,91,150,90,34632,7,6229,2024,2025,173860,144,104,8.69,7.94,139351,1.1
MG,MG ZS EV,Car,50.0,42.34,84,419,140,54235,4,26651,2021,2025,2418921,429,418,7.85,6.76,1228381,1.0
TVS,TVS iQube,Bike,3.4,3.18,93,145,82,56871,5,9663,2022,2025,152132,133,124,8.71,8.46,96965,1.1
TVS,TVS iQube,Bike,3.4,2.23,65,145,82,75895,3,6939,2020,2025,140241,136,87,8.97,8.22,48541,0.8
Hyundai,Hyundai Kona Electric,Car,39.0,37.26,95,305,155,27193,7,33722,2024,2025,2173409,312,265,8.77,8.06,1827268,1.2
MG,MG ZS EV,Car,50.0,36.47,72,419,140,94322,1,26716,2018,2025,2740149,427,398,7.52,7.46,816805,0.7
Bajaj,Bajaj Chetak,Bike,3.0,2.56,85,120,70,25776,7,9418,2024,2025,135966,137,93,8.01,7.66,102101,1.2
Bajaj,Bajaj Chetak,Bike,3.0,2.65,88,120,70,14116,7,3000,2024,2025,128142,100,78,8.92,7.53,99609,1.2
Tata,Tata Nexon EV,Car,40.0,28.31,70,312,120,88862,1,26839,2018,2025,1453797,295,288,8.34,6.87,420496,0.7
MG,MG ZS EV,Car,50.0,46.2,92,419,140,39876,6,23346,2023,2025,2602137,403,391,7.78,7.44,1861947,1.1
Ather,Ather 450X,Bike,3.7,3.6,97,150,90,45640,6,7284,2023,2025,146343,162,138,7.65,7.26,110265,1.1
Bajaj,Bajaj Chetak,Bike,3.0,2.39,79,120,70,96142,1,7030,2018,2025,139503,127,86,8.48,7.81,45419,0.8
Ola,Ola S1 Pro,Bike,4.0,3.91,97,180,95,36938,6,11522,2023,2025,136546,179,147,8.09,6.84,103362,1.1
Ather,Ather 450X,Bike,3.7,2.79,75,150,90,52659,5,3507,2022,2025,163382,137,136,8.17,7.42,83956,0.9
Tata,Tata Nexon EV,Car,40.0,35.23,88,312,120,58665,5,20524,2022,2025,1560878,301,281,8.41,7.87,936849,1.1
Mahindra,Mahindra XUV400,Car,39.4,29.76,75,375,150,84554,2,24628,2019,2025,1883195,370,326,8.21,7.88,660583,0.8
Bajaj,Bajaj Chetak,Bike,3.0,3.29,109,120,70,16657,7,7624,2024,2025,129540,121,91,8.44,7.75,125014,1.2
Tata,Tata Nexon EV,Car,40.0,28.62,71,312,120,90814,1,26364,2018,2025,1545391,321,315,8.86,7.94,451883,0.7
TVS,TVS iQube,Bike,3.4,2.9,85,145,82,74821,3,15359,2020,2025,147678,135,91,8.12,7.36,66473,0.8
Bajaj,Bajaj Chetak,Bike,3.0,2.76,92,120,70,62151,4,4943,2021,2025,121549,133,118,8.86,8.23,67060,0.9
MG,MG ZS EV,Car,50.0,36.09,72,419,140,93258,1,26699,2018,2025,2434125,439,431,8.98,8.46,718023,0.6
Tata,Tata Nexon EV,Car,40.0,36.5,91,312,120,36654,6,33297,2023,2025,1396344,321,304,8.43,7.51,986712,1.0
Ola,Ola S1 Pro,Bike,4.0,3.63,90,180,95,69767,4,6205,2021,2025,162883,172,133,8.17,7.9,88644,1.0
TVS,TVS iQube,Bike,3.4,3.4,100,145,82,44159,5,3000,2022,2025,127106,140,138,8.02,7.89,86619,1.1
Ather,Ather 450X,Bike,3.7,2.25,60,150,90,104157,0,3109,2017,2025,163393,145,104,7.65,6.31,35733,0.6
Mahindra,Mahindra XUV400,Car,39.4,29.88,75,375,150,81516,2,27957,2019,2025,2032760,380,379,8.42,7.95,715923,0.8
TVS,TVS iQube,Bike,3.4,2.92,85,145,82,73240,3,7850,2020,2025,132407,153,121,7.72,6.7,60010,0.9
TVS,TVS iQube,Bike,3.4,2.1,61,145,82,85397,2,7369,2019,2025,132507,132,126,7.95,7.68,38008,0.8
MG,MG ZS EV,Car,50.0,40.5,81,419,140,73379,3,9844,2020,2025,2526256,413,363,8.43,7.05,1079880,0.8
Tata,Tata Nexon EV,Car,40.0,34.08,85,312,120,58114,4,25445,2021,2025,1518498,309,294,8.95,8.02,775862,0.8
Ather,Ather 450X,Bike,3.7,2.98,80,150,90,33611,6,6910,2023,2025,160413,161,157,7.78,7.3,100050,1.1
Ather,Ather 450X,Bike,3.7,3.8,102,150,90,28923,7,5009,2024,2025,164387,139,123,8.0,7.34,148570,1.2
Tata,Tata Nexon EV,Car,40.0,29.27,73,312,120,111404,1,29441,2018,2025,1558971,322,300,8.06,7.87,466207,0.8
Tata,Tata Nexon EV,Car,40.0,33.47,83,312,120,59955,4,24966,2021,2025,1522249,297,291,7.51,6.44,763857,0.9
MG,MG ZS EV,Car,50.0,37.95,75,419,140,83394,2,21423,2019,2025,2339192,410,369,8.51,8.2,824524,0.7
Bajaj,Bajaj Chetak,Bike,3.0,3.14,104,120,70,35333,6,9393,2023,2025,126669,110,94,8.99,8.44,102670,1.2
MG,MG ZS EV,Car,50.0,33.65,67,419,140,112056,0,28898,2017,2025,2603423,413,383,7.84,6.94,630116,0.6
Mahindra,Mahindra XUV400,Car,39.4,34.84,88,375,150,46075,5,18919,2022,2025,2187813,355,314,8.2,7.52,1318378,1.0
Tata,Tata Nexon EV,Car,40.0,30.81,77,312,120,79316,2,34060,2019,2025,1591025,303,272,7.77,6.62,569121,0.7
TVS,TVS iQube,Bike,3.4,2.5,73,145,82,90272,2,9848,2019,2025,144041,150,115,8.21,7.64,49186,0.9
Hyundai,Hyundai Kona Electric,Car,39.0,29.51,75,305,155,78670,2,26018,2019,2025,2104527,313,272,7.95,7.81,739528,0.9
Tata,Tata Nexon EV,Car,40.0,38.36,95,312,120,15210,7,23240,2024,2025,1513038,322,283,7.56,7.2,1276883,1.1
Ather,Ather 450X,Bike,3.7,3.9,105,150,90,22283,7,6191,2024,2025,145303,169,130,8.87,8.31,134778,1.3
Bajaj,Bajaj Chetak,Bike,3.0,2.08,69,120,70,114696,0,3000,2017,2025,134903,104,100,8.27,7.51,33637,0.7
Bajaj,Bajaj Chetak,Bike,3.0,2.97,99,120,70,41941,5,3000,2022,2025,137816,140,99,7.8,6.87,92978,1.0
Bajaj,Bajaj Chetak,Bike,3.0,2.34,77,120,70,51338,4,8620,2021,2025,124270,130,112,7.71,6.48,58128,0.9
Ather,Ather 450X,Bike,3.7,3.47,93,150,90,36796,5,11769,2022,2025,164283,153,147,8.43,7.15,104994,1.0
Ola,Ola S1 Pro,Bike,4.0,4.0,100,180,95,34272,6,8343,2023,2025,163663,181,140,7.66,6.71,126740,1.2
Tata,Tata Nexon EV,Car,40.0,36.58,91,312,120,38258,6,23829,2023,2025,1423787,329,289,7.97,7.09,1008310,1.1
Tata,Tata Nexon EV,Car,40.0,37.96,94,312,120,31227,7,25028,2024,2025,1460732,329,306,7.74,6.99,1219886,1.0
MG,MG ZS EV,Car,50.0,33.83,67,419,140,112158,0,25004,2017,2025,2583299,424,381,8.24,7.92,628590,0.6
Bajaj,Bajaj Chetak,Bike,3.0,2.36,78,120,70,86036,2,9398,2019,2025,139685,108,92,7.87,7.66,51031,0.8
Bajaj,Bajaj Chetak,Bike,3.0,1.8,60,120,70,109749,0,3128,2017,2025,118660,140,103,8.95,8.04,25604,0.7
TVS,TVS iQube,Bike,3.4,2.62,77,145,82,75051,3,6405,2020,2025,127504,156,135,8.01,7.0,51851,1.0
Ather,Ather 450X,Bike,3.7,2.78,75,150,90,64413,4,3000,2021,2025,164753,154,110,7.77,6.91,74234,0.9
Ola,Ola S1 Pro,Bike,4.0,3.26,81,180,95,73744,2,9817,2019,2025,157766,200,179,8.67,7.2,59712,0.7
Ola,Ola S1 Pro,Bike,4.0,2.87,71,180,95,121040,0,12175,2017,2025,147042,170,125,8.93,8.73,37942,0.7
Bajaj,Bajaj Chetak,Bike,3.0,2.38,79,120,70,67222,3,3000,2020,2025,136541,128,127,7.55,6.79,57165,0.9
TVS,TVS iQube,Bike,3.4,2.87,84,145,82,29198,7,7597,2024,2025,146772,162,120,8.43,8.26,109025,1.0
Hyundai,Hyundai Kona Electric,Car,39.0,27.72,71,305,155,100134,1,26576,2018,2025,2135628,313,276,8.3,7.07,620344,0.6
TVS,TVS iQube,Bike,3.4,2.18,64,145,82,96207,1,22793,2018,2025,150381,142,93,8.44,8.3,39404,0.7
Hyundai,Hyundai Kona Electric,Car,39.0,34.62,88,305,155,47957,5,25203,2022,2025,2516487,292,277,8.27,7.8,1522317,1.0
Tata,Tata Nexon EV,Car,40.0,28.67,71,312,120,95149,1,23082,2018,2025,1581630,325,284,8.69,8.1,463288,0.7
Mahindra,Mahindra XUV400,Car,39.4,31.86,80,375,150,78930,3,24231,2020,2025,2022282,386,384,7.61,6.46,862987,0.8
Mahindra,Mahindra XUV400,Car,39.4,36.47,92,375,150,40451,6,27423,2023,2025,1878777,388,343,8.6,7.22,1346728,1.0
Hyundai,Hyundai Kona Electric,Car,39.0,29.84,76,305,155,92532,2,28100,2019,2025,2129464,321,311,8.43,7.56,756659,0.8
Ather,Ather 450X,Bike,3.7,3.46,93,150,90,15506,7,3000,2024,2025,144583,135,118,8.78,8.66,118980,1.2
Mahindra,Mahindra XUV400,Car,39.4,34.79,88,375,150,57858,5,22956,2022,2025,1849128,384,342,7.71,6.22,1112687,1.0
Tata,Tata Nexon EV,Car,40.0,34.99,87,312,120,38755,5,22651,2022,2025,1615195,332,291,8.8,7.94,962846,1.0
Bajaj,Bajaj Chetak,Bike,3.0,2.78,92,120,70,32852,7,3000,2024,2025,125179,105,75,8.81,8.44,102079,1.2
Tata,Tata Nexon EV,Car,40.0,35.25,88,312,120,41934,5,22665,2022,2025,1510925,326,281,8.92,7.92,907381,1.0
Ola,Ola S1 Pro,Bike,4.0,3.35,83,180,95,87241,1,3000,2018,2025,148177,168,160,8.22,7.58,50715,0.9
Ather,Ather 450X,Bike,3.7,3.19,86,150,90,49373,4,5694,2021,2025,148482,145,140,7.65,6.21,76770,0.9
TVS,TVS iQube,Bike,3.4,3.37,99,145,82,45515,5,4587,2022,2025,151972,152,134,7.62,6.25,102650,1.1
MG,MG ZS EV,Car,50.0,43.79,87,419,140,36424,5,32266,2022,2025,2462659,439,437,7.89,6.62,1469796,1.0
Bajaj,Bajaj Chetak,Bike,3.0,2.68,89,120,70,14696,7,9390,2024,2025,118853,113,70,7.75,6.45,93434,1.1
Tata,Tata Nexon EV,Car,40.0,29.05,72,312,120,88476,1,29341,2018,2025,1471113,307,281,8.93,7.71,436627,0.6
Ola,Ola S1 Pro,Bike,4.0,3.48,87,180,95,78690,3,3611,2020,2025,148141,170,152,7.97,6.82,68015,0.9
Bajaj,Bajaj Chetak,Bike,3.0,3.26,108,120,70,10533,7,11478,2024,2025,122866,102,79,7.94,6.49,117492,1.2
Ather,Ather 450X,Bike,3.7,2.61,70,150,90,85130,3,10078,2020,2025,168483,140,139,8.72,8.5,62720,0.9
Ola,Ola S1 Pro,Bike,4.0,3.17,79,180,95,109123,0,12098,2017,2025,161376,175,146,8.92,7.92,45993,0.7
Hyundai,Hyundai Kona Electric,Car,39.0,30.13,77,305,155,89355,2,21855,2019,2025,2389164,316,310,7.54,6.5,857188,0.7
MG,MG ZS EV,Car,50.0,44.4,88,419,140,43385,5,29055,2022,2025,2621722,435,434,8.3,8.04,1586527,1.1
Mahindra,Mahindra XUV400,Car,39.4,27.19,69,375,150,106991,0,32583,2017,2025,1960971,363,343,8.41,7.23,486682,0.6
Tata,Tata Nexon EV,Car,40.0,29.98,74,312,120,79069,2,29753,2019,2025,1590753,306,269,8.21,7.72,553694,0.7
Ola,Ola S1 Pro,Bike,4.0,3.52,88,180,95,74398,3,7367,2020,2025,143917,186,184,8.65,7.52,66835,0.9
Mahindra,Mahindra XUV400,Car,39.4,37.67,95,375,150,32231,7,29400,2024,2025,1888720,379,372,8.35,7.45,1589094,1.1
Bajaj,Bajaj Chetak,Bike,3.0,1.83,61,120,70,100965,0,11201,2017,2025,122705,133,86,7.8,7.41,26918,0.7
TVS,TVS iQube,Bike,3.4,2.27,66,145,82,105624,1,7347,2018,2025,126143,160,144,8.15,8.03,34418,0.7
Hyundai,Hyundai Kona Electric,Car,39.0,32.44,83,305,155,58259,4,22651,2021,2025,2509891,316,292,7.73,6.62,1251992,0.8
MG,MG ZS EV,Car,50.0,35.91,71,419,140,95904,1,29431,2018,2025,2431515,402,358,8.78,8.77,713675,0.6
Ather,Ather 450X,Bike,3.7,2.77,74,150,90,66276,3,3000,2020,2025,153921,153,116,8.63,7.77,60811,0.8
Mahindra,Mahindra XUV400,Car,39.4,26.35,66,375,150,105369,0,19101,2017,2025,1920496,373,349,7.54,7.44,461911,0.7
Tata,Tata Nexon EV,Car,40.0,28.81,72,312,120,99662,1,23866,2018,2025,1512318,294,260,8.95,7.46,445148,0.7
Ola,Ola S1 Pro,Bike,4.0,3.1,77,180,95,71712,2,6256,2019,2025,143518,181,147,8.12,7.18,51654,0.9
Bajaj,Bajaj Chetak,Bike,3.0,3.0,100,120,70,22651,7,10245,2024,2025,142373,115,114,7.75,7.34,125288,1.1
Hyundai,Hyundai Kona Electric,Car,39.0,32.63,83,305,155,58982,4,35343,2021,2025,2308991,287,275,8.22,6.88,1158524,0.9
Hyundai,Hyundai Kona Electric,Car,39.0,34.41,88,305,155,44369,5,25688,2022,2025,2469991,287,280,8.46,7.51,1485126,1.1
Hyundai,Hyundai Kona Electric,Car,39.0,32.55,83,305,155,59279,4,24586,2021,2025,2157639,306,264,8.6,8.23,1079930,0.9
Bajaj,Bajaj Chetak,Bike,3.0,2.5,83,120,70,48996,5,10706,2022,2025,134874,139,117,8.79,8.15,76594,1.0
Ola,Ola S1 Pro,Bike,4.0,3.3,82,180,95,105380,1,3000,2018,2025,161914,195,187,8.3,7.86,54590,0.7
Tata,Tata Nexon EV,Car,40.0,33.73,84,312,120,56427,4,23761,2021,2025,1385343,303,272,8.04,6.6,700558,1.0
Bajaj,Bajaj Chetak,Bike,3.0,2.58,86,120,70,54564,5,6216,2022,2025,119008,107,65,8.48,8.4,69746,1.0
Bajaj,Bajaj Chetak,Bike,3.0,1.8,60,120,70,94733,0,8438,2017,2025,142767,133,123,7.77,6.8,30806,0.8
TVS,TVS iQube,Bike,3.4,2.43,71,145,82,95764,1,8898,2018,2025,132878,127,93,8.59,7.24,38811,0.7
TVS,TVS iQube,Bike,3.4,2.76,81,145,82,40718,5,16595,2022,2025,127334,152,137,8.79,8.6,70440,1.1
Ather,Ather 450X,Bike,3.7,2.77,74,150,90,105732,0,7058,2017,2025,161632,169,164,8.03,7.01,43517,0.7
MG,MG ZS EV,Car,50.0,47.89,95,419,140,17699,7,21344,2024,2025,2277163,413,409,8.44,8.41,1919338,1.2
Bajaj,Bajaj Chetak,Bike,3.0,2.68,89,120,70,63440,3,6033,2020,2025,130451,105,87,8.4,7.8,61499,1.0
Mahindra,Mahindra XUV400,Car,39.4,32.71,83,375,150,53296,4,36282,2021,2025,2193317,363,337,8.23,6.79,1091984,1.0
Hyundai,Hyundai Kona Electric,Car,39.0,31.45,80,305,155,58780,3,20358,2020,2025,2245011,307,299,8.03,7.07,955405,1.0
MG,MG ZS EV,Car,50.0,36.32,72,419,140,93190,1,29367,2018,2025,2483213,416,382,8.06,6.98,737171,0.8
Hyundai,Hyundai Kona Electric,Car,39.0,26.54,68,305,155,105103,0,29379,2017,2025,2154752,311,264,8.58,7.48,527345,0.6
Hyundai,Hyundai Kona Electric,Car,39.0,37.22,95,305,155,17092,7,26296,2024,2025,2479317,321,291,8.0,7.43,2082219,1.1
Ather,Ather 450X,Bike,3.7,3.39,91,150,90,84208,3,3161,2020,2025,166640,151,115,8.9,7.41,80573,0.9
Ola,Ola S1 Pro,Bike,4.0,3.65,91,180,95,26936,7,9034,2024,2025,157708,188,167,7.59,6.91,126639,1.1
TVS,TVS iQube,Bike,3.4,2.6,76,145,82,32239,5,5055,2022,2025,131156,142,102,8.89,7.9,68348,1.1
Ather,Ather 450X,Bike,3.7,3.13,84,150,90,55918,5,8675,2022,2025,175026,151,118,8.9,7.99,100900,1.1
Tata,Tata Nexon EV,Car,40.0,31.77,79,312,120,63514,3,29453,2020,2025,1511016,310,294,7.71,6.54,633343,0.9
Ola,Ola S1 Pro,Bike,4.0,3.15,78,180,95,92646,1,9800,2018,2025,138678,199,170,8.71,8.63,44631,0.7
Ather,Ather 450X,Bike,3.7,2.95,79,150,90,50638,5,3000,2022,2025,157693,148,145,7.52,6.49,85680,1.0
Tata,Tata Nexon EV,Car,40.0,34.77,86,312,120,53528,5,20962,2022,2025,1456830,313,287,8.44,8.04,862981,1.0
Tata,Tata Nexon EV,Car,40.0,26.83,67,312,120,98859,0,21585,2017,2025,1410269,308,282,7.74,7.23,340191,0.6
Hyundai,Hyundai Kona Electric,Car,39.0,32.82,84,305,155,57577,4,26547,2021,2025,2157399,311,283,8.29,7.07,1088767,1.0
Hyundai,Hyundai Kona Electric,Car,39.0,32.63,83,305,155,54591,4,29724,2021,2025,2467138,318,303,7.58,6.41,1237874,0.8
Mahindra,Mahindra XUV400,Car,39.4,27.01,68,375,150,109760,0,22526,2017,2025,1859639,356,352,8.74,8.43,458477,0.6
Bajaj,Bajaj Chetak,Bike,3.0,2.22,74,120,70,114222,0,13805,2017,2025,117394,133,125,7.76,7.59,31242,0.6
Bajaj,Bajaj Chetak,Bike,3.0,3.17,105,120,70,23309,7,6925,2024,2025,121822,102,98,8.21,7.66,113278,1.1
Ather,Ather 450X,Bike,3.7,2.92,78,150,90,23583,6,5962,2023,2025,170528,153,132,8.42,8.33,104217,1.2
Tata,Tata Nexon EV,Car,40.0,38.59,96,312,120,21959,7,27226,2024,2025,1430095,322,278,8.4,7.6,1214122,1.2
Hyundai,Hyundai Kona Electric,Car,39.0,34.23,87,305,155,46821,5,27220,2022,2025,2180647,301,266,8.05,7.86,1304294,0.9
TVS,TVS iQube,Bike,3.4,2.93,86,145,82,34738,7,5350,2024,2025,126259,154,114,8.27,6.88,95748,1.1
